Datum,Zeit,Titel,Beschreibung,Typ,Ort
2026-04-28,15:00,Kreativer Kinder-Malkurs,Malen & Spaß haben! Eigene Kunstwerke schaffen gemeinsam mit Künstler mx12Art.,Kultur,Bitcoin Metropole
2026-04-29,19:00,Bitcoin Einsteigerkurs,Was ist Bitcoin? Grundlagen für Neueinsteiger verständlich erklärt.,Kurs,Bitcoin Metropole
2026-04-30,15:00,Kreativer Kinder-Malkurs,Malen & Spaß haben! Eigene Kunstwerke schaffen gemeinsam mit Künstler mx12Art.,Kultur,Bitcoin Metropole
2026-05-02,19:00,Bitcoin Einsteigerkurs,Was ist Bitcoin? Grundlagen für Neueinsteiger verständlich erklärt.,Kurs,Bitcoin Metropole
2026-05-05,15:00,Kreativer Kinder-Malkurs,Malen & Spaß haben! Eigene Kunstwerke schaffen gemeinsam mit Künstler mx12Art.,Kultur,Bitcoin Metropole
2026-05-06,19:00,Bitcoin Einsteiger Vortrag,Was ist Bitcoin? Grundlagen verständlich erklärt – kein Vorwissen nötig.,Kurs,Bitcoin Metropole
2026-05-08,19:00,Einundzwanzig Cambodunum Meetup,Stammtisch – monatliches MeetUp der Kemptner 21 Community,Kultur,Bitcoin Metropole
2026-05-09,19:00,Bitcoin Einsteiger Vortrag,Was ist Bitcoin? Grundlagen verständlich erklärt – kein Vorwissen nötig.,Kurs,Bitcoin Metropole
2026-05-12,15:00,Kreativer Kinder-Malkurs,Malen & Spaß haben! Eigene Kunstwerke schaffen mit Künstler mx12Art.,Kultur,Bitcoin Metropole
2026-05-13,19:00,Bitcoin Einsteiger Vortrag,Was ist Bitcoin? Grundlagen verständlich erklärt – kein Vorwissen nötig.,Kurs,Bitcoin Metropole
2026-05-15,19:00,Silent Payments | Cake Wallet,Vortrag mit Konstantin Ullrich + Fragen & Antworten rund um Privacy & Wallets.,Vortrag,Bitcoin Metropole
2026-05-19,15:00,Kreativer Kinder-Malkurs,Malen & Spaß haben! Eigene Kunstwerke schaffen mit Künstler mx12Art.,Kultur,Bitcoin Metropole
2026-05-20,19:00,Bitcoin Einsteiger Vortrag,Was ist Bitcoin? Grundlagen verständlich erklärt – kein Vorwissen nötig.,Kurs,Bitcoin Metropole
2026-05-21,15:00,Kreativer Kinder-Malkurs,Malen & Spaß haben! Eigene Kunstwerke schaffen mit Künstler mx12Art.,Kultur,Bitcoin Metropole
2026-05-21,19:00,Chart Analyse,Wir schauen gemeinsam auf den Chart – sieht man dort überhaupt etwas?,Vortrag,Bitcoin Metropole
2026-05-22,19:00,Pizza Day,Bitcoin Pizza Day Event – gemeinsames Treffen & Feier.,Event,La Taverna Kempten
2026-05-26,15:00,Kreativer Kinder-Malkurs,Malen & Spaß haben! Eigene Kunstwerke schaffen mit Künstler mx12Art.,Kultur,Bitcoin Metropole
